case,quantity,value,unit,basis,note,status
w64um,on_axis_shift_err,0.0400,MHz,"the waist band paired with the retro-ratio error, the record's convention","the shift goes as the inverse waist squared and as one plus the retro ratio, so the widest credible interval pairs the tight waist with the high ratio",ENVELOPE
w64um,homogeneous_width_span_err,0.024,dimensionless,the span re-evaluated with the saturation companion scaled by three each way,"the companion rests on the two-level saturation law with a two-photon Rabi frequency, which the record carries as standard practice and not as a derivation for this level structure, so its magnitude is the span's uncertainty. The STRUCTURE does not depend on it: whatever the size, it is a function of the local shift",ENVELOPE
w64um,transit_span_err,0.035,dimensionless,the span re-evaluated over the collected window's own 0.26 +- 0.14 band,"the window is 54 per cent uncertain and the span follows it directly, since the beam radius at the window EDGE is what sets the narrowest kernel and so the denominator of this ratio",ENVELOPE
w64um,on_axis_shift,0.3641,MHz,stark_shift_S0_mhz at 225 mW and the adopted retro ratio,"the ramp's upper end, and the companion's argument on axis",CALIB
w64um,homogeneous_width_span,1.018,dimensionless,the homogeneous Lorentzian on axis over the same at the beam edge,"the saturation companion is keyed on the LOCAL shift, so the homogeneous width is a function of the ramp's own variable and the two cannot be separated into a kernel and a distribution",CALIB
w64um,transit_span,1.033,dimensionless,the transit width AT THE WAIST over the same at the window edge,"transit_fwhm_from_w0 goes as one over the local beam radius, so the kernel is WIDEST where the beam is narrowest, at the waist. The first draft of this row said the opposite in both its basis and its error note, which inverted the mechanism the producer rests on: the broad elements are the shifted ones, and they are the same elements for both kernels",CALIB
w64um,centroid_pull_exact_err,0.00001,MHz,the pull's movement between the full grid and half of it,"a model output's uncertainty here is numerical, and the grid is what bounds it",ENVELOPE
w64um,centroid_pull_fixed_kernel_err,0.00001,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w64um,k3_exact_err,0.00214353,MHz^3,half-span with the saturation companion scaled by three each way,the dominant axis by three orders over the grid. The k3_grid_movement row carries that separately,ENVELOPE
w64um,k3_fixed_kernel_err,2.5702e-07,MHz^3,the fixed row's own axial-grid movement,"its own, not the exact row's copied across. The first draft copied one number to both and it exceeded the fixed row's real movement by a factor of seventeen",ENVELOPE
w64um,centroid_pull_exact,-0.23703,MHz,first moment of the element-by-element mixture,every element carries its own kernel,CALIB
w64um,centroid_pull_fixed_kernel,-0.23703,MHz,first moment with the kernel held at the weighted mean,the approximation the shipped mixture makes,CALIB
w64um,centroid_pull_error,0.000,per cent,the fixed kernel against the exact mixture,"what the convolution assumption costs the centroid, which is not the channel the campaign reads: see fitted_centre_error",ENVELOPE
w64um,fitted_centre_exact,-0.23643,MHz,fit_condition with s0 zero on the element-by-element mixture,"the estimator run_three_channel_forecast inverts, and not the first moment",CALIB
w64um,fitted_centre_fixed_kernel,-0.23706,MHz,the same estimator on the fixed-kernel mixture,the two differ only in the kernel,CALIB
w64um,fitted_centre_error,-0.265,per cent,"the fixed kernel against the exact mixture, through the fitter","the centroid's immunity does not transfer. The first moment of a mixture of symmetric kernels is the density's own mean, exactly, so centroid_pull_error is zero at every waist. A least-squares fit with one width follows the mode, which the narrow unshifted elements set, and the broad elements are the shifted ones",ENVELOPE
w64um,fitted_centre_error_err,0.004,per cent,"the exact row's own grid movement, which bounds this comparison",the two profiles share the grid and differ only in the kernel,ENVELOPE
w64um,fitted_centre_exact_err,0.00001,MHz,the grid movement that bounds every row of this construction,a model output's uncertainty here is numerical,ENVELOPE
w64um,fitted_centre_fixed_kernel_err,0.00001,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w64um,k3_error_forecast_kernel,106.898,per cent,the forecast's own single kernel against the exact mixture,"the companion at the on-axis shift and the transit at the waist, as rb5s6s/forecast.py composes them, so this row and not the mean-shift one is what the campaign surfaces cite",ENVELOPE
w64um,k3_error_forecast_kernel_err,0.13,per cent,"the exact row's own grid movement, which bounds this comparison",the two share the grid and differ only in the kernel,ENVELOPE
w64um,k3_grid_movement_fixed,0.23,per cent,"the same bar applied to the fixed-kernel row, halving the axial axis","the bar binds both rows, since the comparison between them is only as converged as the looser of the two",DIAGNOSTIC
w64um,k3_grid_movement,0.13,per cent,the worst of halving the shift axis and the axial axis separately,"the bar is five per cent. Above it the row reports this construction's numerical floor and not the physics, which is the case wherever the ramp's own third cumulant is small",DIAGNOSTIC
