quantity,key,value,err,unit,note,status
chi2_profile,nfev_1200_w0_50um,33.1989,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_51um,20.6356,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_51.5um,17.4215,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_51.8um,16.3424,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_52um,15.9751,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_52.2um,15.9106,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_52.5um,16.3240,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_53um,18.1376,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_1200_w0_54um,25.7778,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
recovered_w0,nfev_1200,52.2520,,um,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_at_injected_truth,nfev_1200,15.9751,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_50um,33.1989,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_51um,20.6356,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_51.5um,17.4215,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_51.8um,16.3424,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_52um,15.9751,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_52.2um,15.9106,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_52.5um,16.3240,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
chi2_profile,nfev_6000_w0_53um,18.1376,,,"the waist estimator closed on its own forward model at a known 52 um with no noise at all, walked at two optimiser budgets on one refined grid. The profile is identical at both, so the fit is converged and the minimum is the model's: a parameter set at 52.5 um reproduces 52.0 um data better than the true parameters do, and the forward map is not injective over this grid",CALIB
