lever,quantity,value,unit,basis,note,status
_inputs,sigma_width_per_rung,0.03872,MHz,"campaign_twin_forecast, noise 0.02",MEASURED by Monte Carlo through the committed fitter,ENVELOPE
_inputs,sigma_centre_photon,0.00081,MHz,"Cramer-Rao, Gamma/(2 SNR) at 2000 points and noise 0.02","the photon-limited floor, and NOT the binding term",ENVELOPE
_inputs,sigma_centre_drift,0.1112,MHz,0.04 MHz per min over a 2.78 min trace,"the 2025 ARCHIVE rate, kept as the historical reference. It dominates the photon floor by 138x, and the lock was repaired 2026-08-16, so the rows below at this rate are the pessimistic end and not the campaign's expectation",ENVELOPE
_inputs,sigma_centre_per_rung,0.1112,MHz,the two in quadrature,"ESTIMATED. The committed fitter reports width channels only, so every centre-channel row below inherits this",ENVELOPE
temperature_ladder,sigma_transit_frac,5.0452,fraction,"5 rungs, 10 to 170 uK","the width the ladder can actually read at 170 uK is 9.9 kHz on the flux branch, not the 71 kHz of the kernel itself, because the kernel enters at SECOND order. Read from results/transit_additivity.csv, which spans the kernel branches. This row uses the flux branch and the span is 6.70 to 9.94 kHz. It remains the only lever that moves the transit term against a temperature-independent floor, and this row is what that costs",ENVELOPE
temperature_ladder,hours,0.23,hours,5 rungs at 2.78 min per trace,one trace per rung,ENVELOPE
_inputs,S0_onf_1mW_at_trap_this_fibre,1.253,MHz,cell shift scaled through the 370 nm STARK area and |E|^2 at 400 nm,"computed on THIS file's fibre. It previously read a row computed on a 400 nm fibre while every other quantity here is 370 nm, and the at-400nm stark fraction differs between the two by about 30 per cent. A light shift scales with |E|^2 and not with the axial flux",ENVELOPE
power_sweep,sigma_kappa_frac,0.1132,fraction,"5 rungs, 0.05 to 1.0 mW","S0 goes as P and the surface shift does not, so the slope is the light shift and the INTERCEPT is the atom-surface shift. No model of the surface is needed. Computed at the 2025 archive's drifting lock, which is the pessimistic end, and the `lock_span_*` rows carry the same lever across the drift span. NO EARLIER VALUE IS NARRATED HERE ON PURPOSE: this note carried a three-step history whose terminal figure was stale within hours, twice, because a note that restates a number is a second copy of it. The correction record is in docs/HISTORY.md, which is generated",ENVELOPE
power_sweep,sigma_surface_shift,0.07254,MHz,the intercept of the same fit,"this IS the Casimir-Polder measurement, and it is what the ONF group cannot get from a Rydberg probe that makes the charge it reads",ENVELOPE
power_sweep,hours,0.23,hours,5 rungs at 2.78 min per trace,one trace per rung,ENVELOPE
lock_requirement,lever_order_flips_below,never,MHz per min,"the drift at which C3 overtakes kappa, both as fractional precision on their own parameter",This row compared an MHz against a dimensionless ratio until 2026-08-28 and the crossover it reported was between two different kinds of number. Both sides are now fractions of their own parameter. Read the value: `never` means the order holds across the whole span and the record's original claim stands,ENVELOPE
distance_scan,sigma_lambda_frac,0.2895,fraction,"5 rungs, 200 to 600 nm","the mode length 401 nm inverts to the fibre diameter, which no held paper states a tolerance for. This lever DOES deliver it. The design must be weighted by the intensity present at each rung, must carry the shift so the fitted observable is a frequency and not a bare ratio, and must marginalise over the drive's own surface shift, which the scan cannot know a priori. NO EARLIER VALUE IS NARRATED HERE ON PURPOSE: this note carried the figure's own history and its terminal value went stale twice in one day, because a note that restates a number is a second copy of it",ENVELOPE
distance_scan,sigma_C3_frac,1.851,fraction,the d^-3 column of the same design,"the committed C3 ratio spans 3 to 6 and no integration time closes it. This lever narrows it, and it is the WEAKER of the two parameters the scan carries rather than the stronger, because the light-shift column is large and the d^-3 column is not. NO RATIO IS NARRATED HERE: a note that restates a comparison between two rows of this file is a second copy of it, and the one that stood here said four where the rows give 6.5",ENVELOPE
