scope,quantity,value,unit,note,status
bound,shift_bound_70C,0.00072,"MHz, transition axis","vapour pressure 1.991e-05 Torr times the borrowed 30 MHz/Torr ceiling, inflated by (1 + 0.2) for the spread between published vapour-pressure correlations as density.py mandates. A genus-level limit borrowed from other transitions, not a measurement of this line",BOUND
bound,shift_bound_90C,0.00332,"MHz, transition axis","vapour pressure 9.209e-05 Torr times the borrowed 30 MHz/Torr ceiling, inflated by (1 + 0.2) for the spread between published vapour-pressure correlations as density.py mandates. A genus-level limit borrowed from other transitions, not a measurement of this line",BOUND
bound,shift_bound_110C,0.01299,"MHz, transition axis","vapour pressure 3.609e-04 Torr times the borrowed 30 MHz/Torr ceiling, inflated by (1 + 0.2) for the spread between published vapour-pressure correlations as density.py mandates. A genus-level limit borrowed from other transitions, not a measurement of this line",BOUND
bound,shift_bound_130C,0.04424,"MHz, transition axis","vapour pressure 1.229e-03 Torr times the borrowed 30 MHz/Torr ceiling, inflated by (1 + 0.2) for the spread between published vapour-pressure correlations as density.py mandates. A genus-level limit borrowed from other transitions, not a measurement of this line",BOUND
bound,shift_bound_differential,0.04352,"MHz, transition axis","across the campaign's own grid, 70/90/110/130 C. The spread of the borrowed bound over the sweep, quoted beside the absolute bound because it is the smaller scale. It is NOT the width bias, and the mechanism this note used to give for that was withdrawn 2026-08-27: beta.py floats a centre PER TRACE, and density is constant within a trace at a fixed set point, so a collisional shift is absorbed whether or not it varies across the sweep. Both figures are ceilings on a channel the forward model does not carry",BOUND
expectation,shift_expected_70C,-0.00059,"MHz, transition axis","the shift this atom is EXPECTED to have, not a bound: beta_self(6S) anchored ONCE at 120 C, with the impact-theory speed factor (T/393.15)**0.3 applied separately rather than re-anchored per grid point, times the measured shift-to-width ratio -0.33 of FWHM. Negative because a van der Waals interaction shifts the line red. Anchored on Zameroski's 7S rate, so it is NOT independent of the bound above",ENVELOPE
expectation,shift_expected_90C,-0.00260,"MHz, transition axis","the shift this atom is EXPECTED to have, not a bound: beta_self(6S) anchored ONCE at 120 C, with the impact-theory speed factor (T/393.15)**0.3 applied separately rather than re-anchored per grid point, times the measured shift-to-width ratio -0.33 of FWHM. Negative because a van der Waals interaction shifts the line red. Anchored on Zameroski's 7S rate, so it is NOT independent of the bound above",ENVELOPE
expectation,shift_expected_110C,-0.00983,"MHz, transition axis","the shift this atom is EXPECTED to have, not a bound: beta_self(6S) anchored ONCE at 120 C, with the impact-theory speed factor (T/393.15)**0.3 applied separately rather than re-anchored per grid point, times the measured shift-to-width ratio -0.33 of FWHM. Negative because a van der Waals interaction shifts the line red. Anchored on Zameroski's 7S rate, so it is NOT independent of the bound above",ENVELOPE
expectation,shift_expected_130C,-0.03229,"MHz, transition axis","the shift this atom is EXPECTED to have, not a bound: beta_self(6S) anchored ONCE at 120 C, with the impact-theory speed factor (T/393.15)**0.3 applied separately rather than re-anchored per grid point, times the measured shift-to-width ratio -0.33 of FWHM. Negative because a van der Waals interaction shifts the line red. Anchored on Zameroski's 7S rate, so it is NOT independent of the bound above",ENVELOPE
expectation,shift_expected_differential,0.03170,"MHz, transition axis","the expected differential across the same grid, the quantity to compare against shift_bound_differential",ENVELOPE
expectation,expectation_over_bound,0.874,dimensionless,"how much of the borrowed ceiling the record's own expectation uses, computed raw against raw: both scale with the same vapour density, so the density-scale systematic is common-mode and cancels in the ratio. A first draft divided the central expectation by the INFLATED ceiling, 0.73, understating the saturation. Near 1 means the ceiling is nearly used up by the expectation, so the two agreeing in size is one route reaching its own limit, not two routes corroborating",DIAGNOSTIC
comparison,orson_null_as_shift_rate,0.2414,"MHz per 1e12 cm^-3, transition axis","Orson 2021's density-shift null read as a rate: twice their 6 MHz one-photon resolution, over the 3e11 to 5e13 cm^-3 span their abstract states. It bounds a SHIFT and this record's neighbouring column bounds a WIDTH, so the two are not the same quantity. The row exists because a table cell compared them and called the gap three orders of magnitude when the like-for-like figure is the orson_density_null_over_implied row below, about 24. An intermediate draft of that correction said five to eight",BOUND
comparison,width_bound_as_shift_rate,0.0098,"MHz per 1e12 cm^-3, transition axis","the pooled self-broadening bound 0.0298311 times the measured shift-to-width ratio 0.33: the shift rate this record's width channel implies, at the same 95 per cent as the width bound it derives from. The per-peak bounds up to 0.05 imply up to 0.017",BOUND
comparison,orson_density_null_over_implied,24.5,dimensionless,"Orson's density null as a shift rate over the implied shift bound above, now the same quantity on both sides. Their figure is a ONE SIGMA resolution (their section 2 defines every quoted resolution as one sigma) against this record's 95 per cent, so the gap grows once the levels are matched",DIAGNOSTIC
comparison,light_shift_bound_comparator,0.2580,"MHz, transition axis","read from results/stark_joint.csv S0_225mW_ub95, the joint three-session 95 per cent bound at the campaign's maximum power. Read rather than typed, so this row cannot drift from the bound it compares against",BOUND
comparison,light_shift_over_collisional,5.93,dimensionless,"how much larger the light-shift bound is than the collisional differential, both on the transition axis. The collisional shift is not separable from zero by this dataset. NOTE that the numerator would TIGHTEN under the saturation companion, which is measured but uncommitted for the four reasons results/saturation_companion.csv states, so this ratio is computed on the committed bound and is the loose one",DIAGNOSTIC
