arm,quantity,value,unit,basis,note,status
cell,gamma_coll_5traces_err,0.01538,MHz,5 traces,median of the fit's own reported error over 24 synthetic datasets,ENVELOPE
cell,sigma_laser_5traces_err,0.02945,MHz,5 traces,"the residual Gaussian, not a laser linewidth",ENVELOPE
cell,corr_laser_coll_5traces,-0.941,correlation,5 traces,"THE CELL'S FIRST DEGENERACY, measured by the twin rather than asserted. Near -1 means the two widths trade off and the split is not identified",DIAGNOSTIC
cell,gamma_coll_20traces_err,0.00769,MHz,20 traces,median of the fit's own reported error over 24 synthetic datasets,ENVELOPE
cell,sigma_laser_20traces_err,0.01465,MHz,20 traces,"the residual Gaussian, not a laser linewidth",ENVELOPE
cell,corr_laser_coll_20traces,-0.9411,correlation,20 traces,"THE CELL'S FIRST DEGENERACY, measured by the twin rather than asserted. Near -1 means the two widths trade off and the split is not identified",DIAGNOSTIC
cell,gamma_coll_80traces_err,0.00351,MHz,80 traces,median of the fit's own reported error over 24 synthetic datasets,ENVELOPE
cell,sigma_laser_80traces_err,0.00877,MHz,80 traces,"the residual Gaussian, not a laser linewidth",ENVELOPE
cell,corr_laser_coll_80traces,-0.9129,correlation,80 traces,"THE CELL'S FIRST DEGENERACY, measured by the twin rather than asserted. Near -1 means the two widths trade off and the split is not identified",DIAGNOSTIC
onf,neff,1.01927,index,"HE11 solve, 370 nm fibre at 993.4181 nm","SOLVED, replacing the assumed neff_band 1.08 to 1.25 which corresponds to 485 to 796 nm fibres and does not contain this one",CALIB
onf,amplitude_decay_length,801.5,nm,1/q from the same solve,"AMPLITUDE convention, the same one the committed evanescent_decay_length band carries. That band read 211 to 388 nm while it was an assumed index range and did not contain this value. The producer now computes it from the solve and it does",CALIB
onf,lorentzian_excess_truth,0.06694,MHz,mean fibre transit plus collisional at MOT density,"the fibre's whole non-natural Lorentzian budget, summed linearly. Its parts have almost no separate existence at one temperature, which is the cost the fibre pays for removing the cell's degeneracies. The sum is exact for Lorentzians and the transit kernel is a Maxwell-averaged squared Lorentzian, so this is an approximation whose error is not characterised here",ENVELOPE
onf,minutes_per_trace_0.02_err,0.62,minutes,noise 0.02,"half-span of the committed 25 to 40 counts per ms band, which is the dominant uncertainty here because minutes go as one over the rate",ENVELOPE
onf,minutes_per_trace_0.02,2.78,minutes,noise 0.02,"shot noise at 30 counts per ms over 2000 points. THE FIBRE'S REAL COST IS TIME, and the cell reaches 0.004 in seconds",ENVELOPE
onf,lorentzian_excess_0.02_err,0.03872,MHz,noise 0.02,"error on the TOTAL Lorentzian excess, which is what a fibre line at one temperature can report",ENVELOPE
onf,sigma_laser_0.02_err,0.05627,MHz,noise 0.02,"the Gaussian residual, testable here because a guided mode has no free-space retro to tilt",ENVELOPE
onf,corr_laser_coll_0.02,-0.9413,correlation,noise 0.02,"the fibre's own degeneracy between its Lorentzian total and the Gaussian, to be read against the cell's",DIAGNOSTIC
onf,minutes_per_trace_0.004_err,15.62,minutes,noise 0.004,"half-span of the committed 25 to 40 counts per ms band, which is the dominant uncertainty here because minutes go as one over the rate",ENVELOPE
onf,minutes_per_trace_0.004,69.44,minutes,noise 0.004,"shot noise at 30 counts per ms over 2000 points. THE FIBRE'S REAL COST IS TIME, and the cell reaches 0.004 in seconds",ENVELOPE
onf,lorentzian_excess_0.004_err,0.009,MHz,noise 0.004,"error on the TOTAL Lorentzian excess, which is what a fibre line at one temperature can report",ENVELOPE
onf,sigma_laser_0.004_err,0.01312,MHz,noise 0.004,"the Gaussian residual, testable here because a guided mode has no free-space retro to tilt",ENVELOPE
onf,corr_laser_coll_0.004,-0.9414,correlation,noise 0.004,"the fibre's own degeneracy between its Lorentzian total and the Gaussian, to be read against the cell's",DIAGNOSTIC
comparison,collisional_budget_ratio,3262.8,factor,committed cell gamma_coll over gamma_coll at MOT density,"the collisional channel essentially leaves the budget. This is the cell contribution the fibre removes. It does NOT remove the Lorentzian-against-Gaussian correlation, which the twin measures at about -0.94 in BOTH arms",DIAGNOSTIC
comparison,geometry_parameter,waist assumed to diameter measured,kind,w0 has no upper bound from the cell data. a fibre diameter is an SEM or mode-cutoff measurement,"A CHANGE OF KIND, not a smaller uncertainty, and the reason the arms are not two versions of one measurement",DIAGNOSTIC
model,photoionisation_margin_from_6S,0.433,eV,"ionisation limit 33690.81 cm-1 minus the committed E_6S_CM 20132.51 cm-1, minus the literature-line photon","positive means SINGLE-photon ionisation from 6S is excluded at the probe wavelength. TWO-photon ionisation from 6S is energetically OPEN and no committed row bounds its rate, so no claim that this probe cannot ionise rests on this margin alone. What does survive is that a 5S-6S probe populates no Rydberg state, so the Rydberg-ground collisional ionisation raj2026 identifies is absent by construction",CALIB
