quantity,key,value,err,unit,status
mean_fwhm,85Rb,5.4164,0.0096,"MHz, inverse-variance mean of the committed per-condition widths for this isotope's two lines",DIAGNOSTIC
mean_fwhm,87Rb,5.4207,0.0152,"MHz, inverse-variance mean of the committed per-condition widths for this isotope's two lines",DIAGNOSTIC
isotope_width_difference,87 minus 85,0.00431,0.01794,"MHz. A Delta m_F = +-1 term would appear here scaled by g_F squared, 2.25 times larger on 87 than on 85",DIAGNOSTIC
dmf1_broadening_ub95,87Rb,0.07107,,"MHz, 95 per cent upper limit on any g_F-squared-scaling broadening of the rubidium-87 lines, from the isotope difference alone. CONSERVATIVE: every other isotope-dependent effect is absorbed into the same difference",BOUND
mismatch_ub95_at_field,50uT,46.68,,"degrees. RETRACTED CHANNEL, kept as the historical form of the constraint: a forward-to-retro mismatch does not open Delta m_F = +-1, because the two-photon amplitude is symmetric in the two beams for photons from one laser, so rank 1 is absent. The arithmetic is correct and the question does not arise",ARTIFACT
mismatch_ub95_at_field,100uT,27.93,,"degrees. RETRACTED CHANNEL, kept as the historical form of the constraint: a forward-to-retro mismatch does not open Delta m_F = +-1, because the two-photon amplitude is symmetric in the two beams for photons from one laser, so rank 1 is absent. The arithmetic is correct and the question does not arise",ARTIFACT
mismatch_ub95_at_field,200uT,14.85,,"degrees. RETRACTED CHANNEL, kept as the historical form of the constraint: a forward-to-retro mismatch does not open Delta m_F = +-1, because the two-photon amplitude is symmetric in the two beams for photons from one laser, so rank 1 is absent. The arithmetic is correct and the question does not arise",ARTIFACT
mismatch_ub95_at_field,500uT,6.05,,"degrees. RETRACTED CHANNEL, kept as the historical form of the constraint: a forward-to-retro mismatch does not open Delta m_F = +-1, because the two-photon amplitude is symmetric in the two beams for photons from one laser, so rank 1 is absent. The arithmetic is correct and the question does not arise",ARTIFACT
vector_ratio,993.4nm,0.01736,,|differential vector over differential scalar polarizability| from the committed line lists,DIAGNOSTIC
vector_spread_at_225mW_pred,fully circular,0.00604,,"MHz, the m_F spread the vector light shift opens at 225 mW for fully circular light, sized against the CALIBRATED PREDICTION S0_225mW_pred = 0.348 MHz. This is the headline, because a systematic is sized against the larger of the two available shifts",DIAGNOSTIC
vector_spread_at_225mW_bound,fully circular,0.00448,,"MHz, the same spread sized against the 95 per cent upper BOUND S0_225mW_ub95 = 0.258 MHz instead. Carried because the bound sits BELOW the prediction, so quoting it understates the systematic by a third",DIAGNOSTIC
vector_centre_shift_per_projection,87Rb,0.00151,,"MHz per unit of mean population projection, at 225 mW and full circularity. The spread divided by 2F, since the shift is odd in m_F and cancels in the mean over a symmetric population",DIAGNOSTIC
vector_centre_shift_per_projection,85Rb,0.00101,,"MHz per unit of mean population projection, at 225 mW and full circularity. The isotope contrast is the discriminant, since the per-unit shift differs by the ratio of 2F",DIAGNOSTIC
