term_id,status_fitter_2025,status_twin_2025,status_mc_2025,status_fitter_campaign,status_twin_campaign,status_mc_campaign,physics,impl_fitter,impl_twin,impl_mc,param_keys,thesis_anchor,wiki_page,methods_page,evidence,registry_digest,status
natural_width,carried,carried,carried,carried,carried,carried,"The 5S-6S transition's own radiative decay rate Gamma_nat, a fixed Lorentzian component every construction of the line adds before any broadening.",rb5s6s.lineshape:model_profile,rb5s6s.volume_line:joint_spectrum,scripts.run_kernel_mc:run_node,"gamma_nat_mhz, gamma_hom_mhz",tab:tps_magnitudes. Sec:rb5s6s section 7.2.6,voigt-profile.md,docs/methods/02_the_lineshape.md,rb5s6s/constants.py,236ff08cbb73338f,DIAGNOSTIC
transit,carried,carried,carried,carried,carried,carried,"Finite crossing time through the focused beam: a two-sided-exponential (cusp) kernel in the fitter, and the atom's own w(z)/v transit time in the twin and MC.",rb5s6s.lineshape:model_profile,rb5s6s.volume_line:sample_atoms,scripts.run_kernel_mc:run_node,"transit_fwhm, transit_ref_mhz, w0_m",tab:tps_magnitudes. Section 7.2.5,transit-time-broadening.md,docs/methods/02_the_lineshape.md,results/kernel_mc.csv,236ff08cbb73338f,DIAGNOSTIC
transit_chirp,owed:odd-channel-chirp,carried,owed:odd-channel-chirp,owed:odd-channel-chirp,carried,owed:odd-channel-chirp,"The AC-Stark phase and the transit width are correlated within one crossing (the same beam sets both), so the coherent line is not exactly a product of independent ramp and transit factors. The joint twin carries the correlation directly through the per-atom phase phi(t), the fitter's convolution factorisation does not.",rb5s6s.fullmodel:full_profile,rb5s6s.volume_line:joint_spectrum,-,"phi(t), sign, S0_mhz",tab:tps_magnitudes. Eq:tps_chirp. Section 7.2.5,third-cumulant.md,docs/methods/10_the_odd_moments.md,rb5s6s/ramp_transit.py,236ff08cbb73338f,DIAGNOSTIC
laser_kernel,carried,carried,n/a,carried,carried,n/a,"The laser's own frequency noise, a Gaussian and/or Lorentzian kernel convolved onto the transit-and-collision core (doubled for the two photons).",rb5s6s.lineshape:model_profile,rb5s6s.volume_line:joint_spectrum,-,"sigma_laser_fwhm, gamma_l, laser_kind, sigma_laser_mhz",tab:tps_magnitudes. Section 7.2.8,laser-frequency-noise-and-the-linewidth.md,docs/methods/02_the_lineshape.md,the atom-sampling Monte Carlo has no laser-noise source at all (scripts/run_kernel_mc.py),236ff08cbb73338f,DIAGNOSTIC
self_broadening_vdw,carried,carried,n/a,carried,carried,n/a,"Rb-Rb collisional (van der Waals) broadening, gamma_coll = beta_self * N(T): a Lorentzian whose width tracks the vapour density.",rb5s6s.beta:fit_beta_self,rb5s6s.volume_line:joint_spectrum,-,"gamma_coll, beta_self, beta_rel, gamma_hom_mhz",tab:tps_magnitudes. Section 7.2.7. Appendix C,self-broadening.md,docs/methods/04_the_composite_model.md,"the kernel Monte Carlo validates transit/ramp/saturation/depletion, never the empirically-fitted collisional width (scripts/run_kernel_mc.py)",236ff08cbb73338f,DIAGNOSTIC
self_broadening_T03,owed:beta-self-temperature-law,owed:beta-self-temperature-law,n/a,owed:beta-self-temperature-law,owed:beta-self-temperature-law,n/a,"A kinetic-theory T^0.3 correction to the collisional cross-section itself, on top of the density's own N(T): every committed fit holds beta_self as ONE constant coefficient across the temperature ladder, with no separate power-law term.",-,-,-,beta_self,section 7.2.7. F.8,self-broadening.md,docs/methods/04_the_composite_model.md,"rb5s6s/beta.py:fit_beta_self (gamma_coll(T) = beta_self * N(T), no T-power term)",236ff08cbb73338f,DIAGNOSTIC
foreign_gas,absorbed:gamma_l,absorbed:gamma_hom_mhz,n/a,absorbed:gamma_l,absorbed:gamma_hom_mhz,n/a,"Permeated atmospheric gas (helium, then neon) is a constant Lorentzian, exactly the same shape as gamma_l/gamma_hom_mhz, so its value is a PRIOR on that shared width rather than a second term. No coefficient for 5S-6S is held (F136-F138).",rb5s6s.lineshape:permeated_gas_width_mhz,-,-,"gamma_l, fit_gamma_l, gamma_hom_mhz",tab:tps_magnitudes. Appendix C.5,self-broadening.md,docs/methods/04_the_composite_model.md,"rb5s6s/lineshape.py:permeated_gas_width_mhz's own docstring ('THIS IS A PRIOR ON gamma_l, NOT A SECOND TERM')",236ff08cbb73338f,DIAGNOSTIC
ac_stark_ramp,carried,carried,carried,carried,carried,carried,"The AC-Stark shift distribution a focused, I^2-weighted beam imprints: a triangular ramp (or its saturated/axially-mixed generalisation) on [0, S0].",rb5s6s.fullmodel:full_profile,rb5s6s.volume_line:joint_spectrum,scripts.run_kernel_mc:run_node,"s0, S0_mhz, stark_shift_S0_mhz",tab:tps_magnitudes. Section 7.2.10,ac-stark-shift.md,docs/methods/03_the_ac_stark_ramp.md,"results/kernel_mc.csv (ramp_k2_rel, ramp_k3_rel)",236ff08cbb73338f,DIAGNOSTIC
doppler_pedestal,absorbed:baseline,owed:doppler-pedestal-in-twin,n/a,absorbed:baseline,owed:doppler-pedestal-in-twin,n/a,"The co-propagating two-photon absorption's own Doppler-broadened (~931 MHz at 130 C) pedestal under the narrow Doppler-free line, at about three parts in a thousand of its height.",rb5s6s.fullmodel:doppler_pedestal_fwhm_mhz,rb5s6s.forecast:build_world_trace,-,pedestal_height_frac,tab:tps_magnitudes. Table 7.5,doppler-free-two-photon.md,docs/methods/02_the_lineshape.md,"over the archive's sub-100 MHz span the pedestal is a near-constant offset, degenerate with the free per-trace baseline every committed fit already carries (results/twin_term_census.csv: doppler_pedestal)",236ff08cbb73338f,DIAGNOSTIC
saturation,carried,owed:saturated-arm,carried,carried,owed:saturated-arm,carried,Homogeneous broadening and ramp reshaping from a non-perturbative two-photon drive: the companion width goes as Gamma*(sqrt(1+2(Omega/Gamma)^2)-1) and the ramp's own local density saturates from x to G(Px)/x.,rb5s6s.fullmodel:saturation_companion_mhz,-,rb5s6s.platforms:excitation_rate_per_atom,"omega_mhz, saturated_ramp_density, excitation_rate_per_atom",tab:tps_magnitudes. Section 7.2.12. Table 7.5,saturation.md,docs/methods/04_the_composite_model.md,rb5s6s/volume_line.py's own module docstring ('WEAK FIELD ONLY... DEFERS the saturated arm'),236ff08cbb73338f,DIAGNOSTIC
