quantity,key,value,err,unit,note,status
analog/j0.009/d0,shift_err_unreferenced,0.02813,0.00041,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.009/d0,shift_err_paired,0.02804,0.00041,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.009/d0,shift_err_ratio,0.997,0.021,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
analog/j0.009/d0,shift_err_ratio_one_campaign,0.997,0.037,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
analog/j0.009/d0,width_err_ratio,0.963,0.023,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 1.6 sigma from one)",ENVELOPE
counting/j0.009/d0,shift_err_unreferenced,0.02347,0.00035,MHz,per-sweep sd over sweeps,ENVELOPE
counting/j0.009/d0,shift_err_paired,0.02253,0.00033,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
counting/j0.009/d0,shift_err_ratio,0.960,0.020,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
counting/j0.009/d0,shift_err_ratio_one_campaign,0.960,0.072,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
counting/j0.009/d0,width_err_ratio,0.983,0.022,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 0.8 sigma from one)",ENVELOPE
analog/j0.009/d5,shift_err_unreferenced,0.03093,0.00046,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.009/d5,shift_err_paired,0.02764,0.00041,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.009/d5,shift_err_ratio,0.894,0.019,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
analog/j0.009/d5,shift_err_ratio_one_campaign,0.894,0.034,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
analog/j0.009/d5,width_err_ratio,0.956,0.022,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 2.0 sigma from one)",ENVELOPE
counting/j0.009/d5,shift_err_unreferenced,0.02580,0.00038,MHz,per-sweep sd over sweeps,ENVELOPE
counting/j0.009/d5,shift_err_paired,0.02292,0.00034,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
counting/j0.009/d5,shift_err_ratio,0.888,0.019,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
counting/j0.009/d5,shift_err_ratio_one_campaign,0.888,0.046,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
counting/j0.009/d5,width_err_ratio,0.966,0.021,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 1.6 sigma from one)",ENVELOPE
analog/j0.009/d20,shift_err_unreferenced,0.05419,0.00080,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.009/d20,shift_err_paired,0.02695,0.00040,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.009/d20,shift_err_ratio,0.4973,0.0096,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
analog/j0.009/d20,shift_err_ratio_one_campaign,0.497,0.024,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
analog/j0.009/d20,width_err_ratio,1.051,0.024,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 2.1 sigma from one)",ENVELOPE
counting/j0.009/d20,shift_err_unreferenced,0.05202,0.00077,MHz,per-sweep sd over sweeps,ENVELOPE
counting/j0.009/d20,shift_err_paired,0.02146,0.00032,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
counting/j0.009/d20,shift_err_ratio,0.4125,0.0078,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
counting/j0.009/d20,shift_err_ratio_one_campaign,0.412,0.028,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
counting/j0.009/d20,width_err_ratio,1.010,0.021,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 0.5 sigma from one)",ENVELOPE
analog/j0.009/d40,shift_err_unreferenced,0.0959,0.0014,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.009/d40,shift_err_paired,0.02764,0.00041,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.009/d40,shift_err_ratio,0.2883,0.0053,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
analog/j0.009/d40,shift_err_ratio_one_campaign,0.288,0.013,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
analog/j0.009/d40,width_err_ratio,1.025,0.023,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 1.1 sigma from one)",ENVELOPE
counting/j0.009/d40,shift_err_unreferenced,0.0947,0.0014,MHz,per-sweep sd over sweeps,ENVELOPE
counting/j0.009/d40,shift_err_paired,0.02219,0.00033,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
counting/j0.009/d40,shift_err_ratio,0.2342,0.0043,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
counting/j0.009/d40,shift_err_ratio_one_campaign,0.2342,0.0080,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
counting/j0.009/d40,width_err_ratio,0.977,0.021,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 1.1 sigma from one)",ENVELOPE
span_j0.009,worst_shift_ratio,0.997,0.021,ratio,"max over the drift span and both branches at this excursion (analog/j0.009/d0). The err is the selected configuration's own se, read with the margin beside it: the runner-up (counting/j0.009/d0) sits 1.3 combined sigma below. A sub-one margin whose candidates' own states disagree makes the criterion row say unresolved, and one whose candidates agree leaves which configuration is worst open, not the side",ENVELOPE
span_j0.009,criterion,fails,,,"the worst ratio sits 14.3 sigma of its own se above the 0.7 threshold, with a selection margin of 1.3 sigma to the runner-up",ENVELOPE
analog/j0.028/d0,shift_err_unreferenced,0.03886,0.00057,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.028/d0,shift_err_paired,0.02742,0.00040,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.028/d0,shift_err_ratio,0.705,0.015,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
analog/j0.028/d0,shift_err_ratio_one_campaign,0.705,0.029,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
analog/j0.028/d0,width_err_ratio,1.010,0.022,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 0.5 sigma from one)",ENVELOPE
counting/j0.028/d0,shift_err_unreferenced,0.03535,0.00052,MHz,per-sweep sd over sweeps,ENVELOPE
counting/j0.028/d0,shift_err_paired,0.02234,0.00033,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
counting/j0.028/d0,shift_err_ratio,0.632,0.013,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
counting/j0.028/d0,shift_err_ratio_one_campaign,0.632,0.017,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
counting/j0.028/d0,width_err_ratio,0.961,0.020,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 1.9 sigma from one)",ENVELOPE
analog/j0.028/d5,shift_err_unreferenced,0.04095,0.00060,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.028/d5,shift_err_paired,0.02741,0.00040,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.028/d5,shift_err_ratio,0.669,0.014,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
analog/j0.028/d5,shift_err_ratio_one_campaign,0.669,0.036,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
analog/j0.028/d5,width_err_ratio,1.012,0.025,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 0.5 sigma from one)",ENVELOPE
counting/j0.028/d5,shift_err_unreferenced,0.03672,0.00054,MHz,per-sweep sd over sweeps,ENVELOPE
counting/j0.028/d5,shift_err_paired,0.02173,0.00032,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
counting/j0.028/d5,shift_err_ratio,0.592,0.012,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
counting/j0.028/d5,shift_err_ratio_one_campaign,0.592,0.029,ratio,"the same ratio with the spread ONE 384-sweep campaign would see in its own realised value, measured as the sample sd of the 6 per-replicate ratios rather than by scaling the pooled error, which assumes a root-n law and measured 17 per cent low at analog/j0.028/d0, the configuration the fibre scenario quotes. The row above states how well this file knows the number. This one states what the bench would get. They stopped being the same quantity when the grid gained replicates",ENVELOPE
counting/j0.028/d5,width_err_ratio,1.014,0.022,ratio,"expected at parity, the photon budget is conserved and no width is shared (this row: 0.7 sigma from one)",ENVELOPE
analog/j0.028/d20,shift_err_unreferenced,0.05969,0.00088,MHz,per-sweep sd over sweeps,ENVELOPE
analog/j0.028/d20,shift_err_paired,0.02705,0.00040,MHz,"per-sweep sd, the offset cancelled by the cell pin",ENVELOPE
analog/j0.028/d20,shift_err_ratio,0.4532,0.0092,ratio,"paired over unreferenced, delete-one jackknife se over the concatenated replicates. Smaller favours paired. THE ERROR IS THE ESTIMATE'S, NOT ONE CAMPAIGN'S: a single run of 384 sweeps would land within about root 6 of this se of the value, which is the spread the row below carries",ENVELOPE
