gamma_l_mhz,noise_level,scope,scope_mode,window_mhz,resolve_shift,order,s0_power,s0_power_err,rungs_used,min_snr_over_rungs,status,note
0,0.002,lecroy_ws3104z,raw,3.25,false,3,2.5113,0.8200,5,0.161,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,3.25,false,5,2.3075,0.7559,5,0.223,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,3.25,false,7,2.2338,0.6404,5,0.312,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,3.25,true,3,2.1870,0.7373,5,0.319,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,3.25,true,5,2.4597,1.4689,5,0.020,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,3.25,true,7,2.1353,1.1042,5,0.083,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,4,false,3,2.2819,0.4159,5,0.806,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,4,false,5,2.7736,0.0799,5,0.138,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,4,false,7,2.6448,0.1067,5,0.151,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
0,0.002,lecroy_ws3104z,raw,4,true,3,2.5891,0.9531,5,0.094,DIAGNOSTIC,"the fitted power of S0 carried by the windowed cumulant of this order at this configuration, from a log-log fit over the S0 ladder -- NaN means the estimator returned a non-finite or zero cumulant on some rung"
