quantity,key,value,err,unit,note,status
resampled_from_a_zero_pool,noiseless,0.0000,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
sd_mu4_bootstrap_over_gaussian,low,2.3127,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
sd_mu4_direct_over_gaussian,low,2.4283,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
bootstrap_carries_of_truth,low,0.9524,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
sigma_resampled_over_gaussian,low,0.9985,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
sd_mu4_bootstrap_over_gaussian,archive,2.2183,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
sd_mu4_direct_over_gaussian,archive,2.4043,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
bootstrap_carries_of_truth,archive,0.9227,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
sigma_resampled_over_gaussian,archive,1.0025,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",CALIB
conditions_pooled,real,32.0000,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",DIAGNOSTIC
tau_resid,4121_110C_225mW,1.1833,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_110C_225mW,0.0795,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_130C_125mW,1.0455,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
