rung,quantity,value,unit,basis,note,status
_fit,p_series_rydberg,109985.13,cm-1,Ritz fit to the eight nP states with the package's ionisation limit held,"worst residual 1.27 cm-1. The accepted Rb value is 109736.605, so this fit sits 248.5 above it and the ladder is quoted under both",DIAGNOSTIC
_fit,ritz_form_error,0.04408,nm,worst wavelength error from fitting two adjacent nP states and predicting the next two,"the D series' lower anchors give 0.04408 nm. This is the METHOD's error and the row above is the FIT's, and quoting only the second understates a rung by about twenty-five",DIAGNOSTIC
_fit,p_series_limit_at_accepted_rydberg,33688.78,cm-1,the same fit with the Rydberg constant held instead,"worst residual 1.86 cm-1, and 2.03 cm-1 from the package's own limit. Neither fit resolves the pair, and their spread is carried on every extrapolated wavelength below",DIAGNOSTIC
4D,term_energy,19355.426,cm-1,"held exactly (NIST, rb5s6s.hyperpolarizability.LEVELS), the doublet centre, used as the second D anchor",above the 5S1/2 ground state,CALIB
4D,drive_wavelength,1033.302,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,CALIB
4D,term_energy_err,0.223,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
4D,drive_wavelength_err,0.0119,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
4D,waist_aperture_limited,66.644,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
4D,waist_aperture_limited_err,3.191,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
4D,waist_resonator_mode,65.345,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
4D,waist_resonator_mode_err,3.191,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
4D,rayleigh_range,13.504,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
4D,rayleigh_range_err,1.293,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
4D,collection_z_ratio,0.2499,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
4D,collection_z_ratio_err,0.02393,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
4D,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
4D,kernel_width_spread_across_the_ramp,1.031,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
4D,kernel_width_spread_across_the_ramp_err,0.005803,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
4D,transit_fwhm,0.9195,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
4D,transit_fwhm_err,0.04402,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
4D,doppler_pedestal_fwhm,905.58,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
4D,doppler_pedestal_fwhm_err,0.01043,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
4D,static_scalar_polarizability_upper,541,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
4D,static_scalar_polarizability_upper_err,26,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
4D,intermediate_detuning_5p12,2901.2,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
4D,intermediate_detuning_5p12_err,0.1115,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
4D,intermediate_detuning_5p32,3138.8,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
4D,intermediate_detuning_5p32_err,0.1115,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
4D,five_p_enhancement_relative_to_6s,0.874,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
4D,alpha_5s_at_the_drive,740.14,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
4D,alpha_5s_at_the_drive_err,0.8434,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
4D,differential_polarizability,,a.u.,no sum over states for this upper level in this repository,"empty and NULL rather than estimated: the shift coefficient is the one quantity a campaign would act on. THE ROUTE IS NOW NAMED, which it was not before 2026-09-10: Safronova and Safronova 2011 Table II carries the reduced E1 elements for these channels, so a frequency-dependent sum on NIST energies closes it, validated at zero frequency against the static row above",NULL
4D,on_axis_shift_per_watt,,MHz per W,needs the differential polarizability above,,NULL
4D,saturation_shift_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
4D,rate_at_a_fixed_shift_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
4D,rate_at_its_own_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
4D,nearest_np_gap,2.29,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
4D,nearest_np_gap_err,0.0001173,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
4D,thermal_occupation_at_that_gap,1.749e-07,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 15.56",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
4D,thermal_occupation_at_that_gap_err,1.392e-10,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
4D,detection_arm,"1.48/1.53 um (4D to 5P) then 795 nm (5P1/2 to 5S), the arm the bench already has",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
6S,term_energy,20132.510,cm-1,"held exactly (NIST, rb5s6s.polarizability.E_6S_CM)",above the 5S1/2 ground state,CALIB
6S,drive_wavelength,993.418,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,CALIB
6S,term_energy_err,0.01013,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
6S,drive_wavelength_err,0.0005,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
6S,waist_aperture_limited,64.001,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
6S,waist_aperture_limited_err,3.000,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
6S,waist_resonator_mode,64.001,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
6S,waist_resonator_mode_err,3.000,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
6S,rayleigh_range,12.954,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
6S,rayleigh_range_err,1.214,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
6S,collection_z_ratio,0.2605,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
6S,collection_z_ratio_err,0.02443,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
6S,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
6S,kernel_width_spread_across_the_ramp,1.033,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
6S,kernel_width_spread_across_the_ramp_err,0.006158,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
6S,transit_fwhm,0.9575,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
6S,transit_fwhm_err,0.04488,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
6S,doppler_pedestal_fwhm,941.94,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
6S,doppler_pedestal_fwhm_err,0.0004741,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
6S,static_scalar_polarizability_upper,5169,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
