quantity,key,value,err_lo16,err_hi84,unit,status
alpha_5s_static,model,318.28,317.90,318.68,au; validation vs measured 318.79(1.42) (Holmgren 2010),DIAGNOSTIC
alpha_6s_static,model,5167.0,5143.7,5187.6,au; tail calibrated to the Safronova-group 5167(22),DIAGNOSTIC
tuneout_5s,model,790.0339,790.0269,790.0412,nm; validation vs measured 790.032326(32) (Leonard 2015 as corrected by the 2017 erratum),DIAGNOSTIC
alpha_5s_993,model,832.4,831.4,833.4,au; POSITIVE -- 993 nm is red of the D1/D2 lines (795/780 nm),DIAGNOSTIC
alpha_6s_993,model,-312.2,-317.9,-306.5,"au; NEGATIVE -- 993 nm is blue of the 6S->5P cascade (1324/1367 nm), the dominant 6S term",DIAGNOSTIC
delta_alpha_993_tail_dispersion,systematic,4.2,4.2,21.7,"au, ONE-SIDED and additive to delta_alpha_993, making it less negative. The 6S tail is added flat while the drive sits inside the 6S->nP series, so every omitted state is enhanced and all of one sign. Range spans the ionisation limit to 9P1/2. NOT APPLIED: needs the 6S->9P..12P reduced matrix elements, which no held paper carries",ENVELOPE
delta_alpha_993,model,-1145,-1150,-1139,"au (alpha_6S - alpha_5S); |value| within ~5% of Orson 2021's 1093 but OPPOSITE sign (6S pushed up at 993 nm => blue shift) -- ADJUDICATED 2026-08-24 and now the package default, a decision on the theory and not a measurement, the sign being unset by experiment, archival results sign-immune. One defect is open and it is the size of the band: the 6S line list stops at 8P where the 5S list runs to 12P, and the tail that stands in for the omitted states is calibrated at the static limit while the drive sits between 8P and 9P, where the first omitted term is enhanced sevenfold. See delta_alpha_993_tail_dispersion, which sizes it and is deliberately not applied",DIAGNOSTIC
alpha_6s_1064,model,-116.4,-122.4,-110.3,au; small and negative -- a 1064 nm trap arm adds nearly the full alpha_5S(1064) ~ +687 au to the differential shift,ENVELOPE
magic_5s6s,1204nm,1203.89,1203.06,1204.73,nm; alpha there 547 au (trapping both states); unpublished (searched 2026-07-17); scalar only -- vector shifts near the 6S-5P lines need their own treatment before a trap design,ENVELOPE
magic_5s6s,1288nm,1287.87,1287.71,1288.03,nm; alpha there 501 au (trapping both states); unpublished (searched 2026-07-17); scalar only -- vector shifts near the 6S-5P lines need their own treatment before a trap design,ENVELOPE
magic_5s6s,1340nm,1339.57,1339.51,1339.64,nm; alpha there 480 au (trapping both states); unpublished (searched 2026-07-17); scalar only -- vector shifts near the 6S-5P lines need their own treatment before a trap design,ENVELOPE
