quantity,key,value,err,unit,status
n_multi_power_epochs,p_sweep,3.0000,,count. display epochs holding at least two nominal powers and at least three traces,DIAGNOSTIC
n_traces,p_sweep,30.0000,,"count. traces inside those epochs, all of which enter every row below",DIAGNOSTIC
pull_per_watt_mhz,predicted,0.5394,,"MHz per W on the laser axis. the predicted centre pull, two thirds of the peak shift for the ramp-averaged centroid and one half for the axis convention",DIAGNOSTIC
delta_power_max_in_epoch_w,33,0.0500,,"W. the largest power change available INSIDE a single display epoch. a change spanning two epochs is not a lever, because the centres either side of an epoch boundary are not comparable. single_valued: this is the lever the design happens to offer, not a summary over a population. three epochs contrast two powers each and every one of them steps by 50 mW, so the spread a sibling median would report is zero",DIAGNOSTIC
predicted_step_mhz,33,0.0270,,MHz on the laser axis. what the prediction says the centre moves across that power change,DIAGNOSTIC
sigma_per_trace_mhz,epoch_23,0.0421,,MHz. MAD-sigma of the within-epoch centres after a line in time is removed,DIAGNOSTIC
sigma_per_trace_mhz,epoch_28,0.0247,,MHz. MAD-sigma of the within-epoch centres after a line in time is removed,DIAGNOSTIC
sigma_per_trace_mhz,epoch_33,0.0647,,MHz. MAD-sigma of the within-epoch centres after a line in time is removed,DIAGNOSTIC
sigma_amplitude,drift_known,0.2420,,"dimensionless. one-sigma error on the amplitude multiplying the PREDICTED shift, so 1 is the prediction holding and 0 is no shift. the drift-known row is a FORECAST for a fixed lock and not a measurement on this archive, whose centres already have their per-epoch mean removed by construction",ENVELOPE
sigma_amplitude,constant_per_epoch,0.4743,,"dimensionless. one-sigma error on the amplitude multiplying the PREDICTED shift, so 1 is the prediction holding and 0 is no shift. the drift-known row is a FORECAST for a fixed lock and not a measurement on this archive, whose centres already have their per-epoch mean removed by construction",MEASURED
sigma_amplitude,linear_per_epoch,3.4837,,"dimensionless. one-sigma error on the amplitude multiplying the PREDICTED shift, so 1 is the prediction holding and 0 is no shift. the drift-known row is a FORECAST for a fixed lock and not a measurement on this archive, whose centres already have their per-epoch mean removed by construction",MEASURED
sigma_amplitude,quadratic_per_epoch,3.4959,,"dimensionless. one-sigma error on the amplitude multiplying the PREDICTED shift, so 1 is the prediction holding and 0 is no shift. the drift-known row is a FORECAST for a fixed lock and not a measurement on this archive, whose centres already have their per-epoch mean removed by construction",MEASURED
inflation_linear_over_drift_known,forecast,14.3958,,"dimensionless. how much a freely fitted linear drift costs relative to a lock whose drift is known. the denominator is a FORECAST, so this ratio speaks to a future campaign and not this one",ENVELOPE
inflation_linear_over_constant,measured,7.3456,,"dimensionless. how much a freely fitted linear drift costs relative to a per-epoch level alone, which is the comparison BOTH of whose terms this archive can evaluate. THIS IS THE COST THE CAMPAIGN DESIGN TURNS ON",MEASURED
sigma_amplitude_forecast,linear_drift_as_taken,3.4837,,"dimensionless. what a free per-epoch linear drift would leave on the amplitude if the campaign's own traces and times carried this power ORDER. a FORECAST over an ordering, not a measurement of one",ENVELOPE
sigma_amplitude_forecast,linear_drift_cycled,0.4840,,"dimensionless. what a free per-epoch linear drift would leave on the amplitude if the campaign's own traces and times carried this power ORDER. a FORECAST over an ordering, not a measurement of one",ENVELOPE
ladder_order_gain,cycled_over_as_taken,7.1974,,"dimensionless. how much the light-shift error improves from CYCLING THE POWER through the epoch instead of taking every repeat of one power before changing. same traces, same times, same noise, only the order. THIS IS WHAT THE CAMPAIGN DESIGN CHANGE BUYS, AND IT COSTS NOTHING",ENVELOPE
prediction_significance_sigma,constant_per_epoch,2.1086,,"sigma. how many sigma separate the predicted shift from no shift at all, aggregated over every multi-power epoch, at the stated drift freedom. the drift-known row is the fixed-lock FORECAST",MEASURED
prediction_significance_sigma,drift_known,4.1324,,"sigma. how many sigma separate the predicted shift from no shift at all, aggregated over every multi-power epoch, at the stated drift freedom. the drift-known row is the fixed-lock FORECAST",ENVELOPE
