quantity,key,value,err,unit,status
kappa_min,primary,0.00,,"MHz per W; profile minimum, four-point priors, dir -1; NOT a detection (see dchi2_kappa0)",DIAGNOSTIC
dchi2_kappa0,primary,0.00,,chi2(kappa=0) - chi2(min); the strength of the kappa>0 preference,DIAGNOSTIC
kappa_ub95,primary,0.943,,MHz per W; 95% one-sided profile-likelihood bound over the FULL archive (negative kappa is flat by construction: the ramp model only broadens red),BOUND
S0_225mW_ub95,primary,0.212,,"MHz, transition axis; full-archive bound at the campaign's maximum power",BOUND
S0_270mW_ub95,primary,0.254,,MHz; at the rehearsal's maximum power,BOUND
kappa_pred,prediction,1.545,,"MHz per W; the PREDICTED coefficient at the current priors (w0 = 64 um, rho = 0.94), computed from constants",CALIB
S0_225mW_pred,prediction,0.348,,"MHz, transition axis; the prediction at 225 mW",CALIB
kappa_ub95_camponly,robustness,0.639,,"MHz per W; campaign rows of the same profile (power AND temperature ladders), so the bound does not lean on the rehearsal's soft rate anchor",BOUND
kappa_ub95_pladder,robustness,0.696,,"MHz per W; campaign POWER-ladder rows only -- the M23 trace set inside this fit, so the difference from the primary is what the temperature ladder adds",BOUND
kappa_min_wing,robustness,0.00,,MHz per W; minimum with the red-wing nuisance free,DIAGNOSTIC
kappa_ub95_wing,robustness,0.951,,"MHz per W; bound with the wing marginalized -- quote alongside the primary, the gap IS the wing systematic",BOUND
direction_dchi2_max,robustness,8.66,,max |chi2 difference| between rehearsal axis directions across the profile; small = indifferent,DIAGNOSTIC
basin_gap_max,robustness,0.78,,"chi2; worst (best cold chain - best seeded chain) over the families that have both. Large = a cold chain parked, and the pointwise minimum already discarded it",DIAGNOSTIC
kappa_ub95_drop4192,robustness,1.423,,"MHz per W; 95% bound with peak 4192 dropped, which removes the ENTIRE pilot session -- the most conservative subset",BOUND
S0_225mW_ub95_drop4192,robustness,0.320,,MHz; the drop-4192 bound at 225 mW,BOUND
lopo_dchi2_pred,4121,+11.52,,chi2(kappa_pred) - min with this peak dropped; all positive and similar = no single peak drives it,DIAGNOSTIC
lopo_dchi2_262,4121,+36.37,,chi2(kappa=2.62) - min with this peak dropped,DIAGNOSTIC
lopo_dchi2_pred,4154,+3.92,,chi2(kappa_pred) - min with this peak dropped; all positive and similar = no single peak drives it,DIAGNOSTIC
lopo_dchi2_262,4154,+14.80,,chi2(kappa=2.62) - min with this peak dropped,DIAGNOSTIC
lopo_dchi2_pred,4192,+3.15,,chi2(kappa_pred) - min with this peak dropped; all positive and similar = no single peak drives it,DIAGNOSTIC
lopo_dchi2_262,4192,+11.22,,chi2(kappa=2.62) - min with this peak dropped,DIAGNOSTIC
lopo_dchi2_pred,4207,+3.56,,chi2(kappa_pred) - min with this peak dropped; all positive and similar = no single peak drives it,DIAGNOSTIC
lopo_dchi2_262,4207,+13.64,,chi2(kappa=2.62) - min with this peak dropped,DIAGNOSTIC
beta_self_post,4121,0.01791,2.29,MHz per 1e12 cm^-3; posterior under the four-point prior 0.01553+/-0.00104 (err column: the tension in prior sigmas),PRELIM
gamma_coll_post_130C,4121,0.527,,"MHz; the same posterior expressed as a collisional width at 130 C, comparable with M23's row",PRELIM
reh_rate,4121,0.01275,,"MHz per ms, transition; fitted rehearsal scan rate",CALIB
beta_self_post,4154,0.01847,0.75,MHz per 1e12 cm^-3; posterior under the four-point prior 0.01803+/-0.00059 (err column: the tension in prior sigmas),PRELIM
gamma_coll_post_130C,4154,0.544,,"MHz; the same posterior expressed as a collisional width at 130 C, comparable with M23's row",PRELIM
reh_rate,4154,0.01356,,"MHz per ms, transition; fitted rehearsal scan rate",CALIB
beta_self_post,4192,0.01565,3.77,MHz per 1e12 cm^-3; posterior under the four-point prior 0.01307+/-0.00068 (err column: the tension in prior sigmas),PRELIM
