scope,quantity,value,unit,basis,note,status
mode_solve_350nm,neff,1.01283,index,HE11 characteristic equation at the literature line,"solved, not assumed. An earlier neff_band of 1.08 to 1.25 corresponds to 485 to 796 nm fibres and did not contain any of the three named here",CALIB
mode_solve_350nm,neff_err,0.00569,index,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_350nm,amplitude_decay_length,984,nm,1/q from the same solve,"the amplitude convention. The intensity length is half of it, and conflating the two is a factor of two in every guided intensity",CALIB
mode_solve_350nm,amplitude_decay_length_err,227,nm,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_350nm,intensity_decay_length,492,nm,1/(2q),"the convention a two-photon coupling needs, since the coupling follows I",CALIB
mode_solve_350nm,intensity_decay_length_err,114,nm,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_350nm,qa,0.178,dimensionless,q times the fibre radius,"the number that decides whether the approximation is available. K1(x) reduces to its exponential asymptote only for x much greater than one, so at 0.18 to 0.32 the exponential form is unavailable anywhere the atoms are",CALIB
mode_solve_350nm,qa_err,0.050,dimensionless,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_350nm,mode_area_azimuthal_mean,0.826,um^2,P over the azimuthally averaged axial flux at the surface,"the convention is part of the number. The peak convention gives a SMALLER area, since a peak intensity is larger",CALIB
mode_solve_350nm,mode_area_azimuthal_mean_err,0.161,um^2,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_350nm,mode_area_peak,0.642,um^2,"P over the peak axial flux, on the polarisation axis","quoted beside the mean so no reader takes either as the mode area without its convention. This row read 0.824 for one day, larger than the mean, which a peak cannot be",CALIB
mode_solve_350nm,mode_area_peak_err,0.120,um^2,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_350nm,power_fraction_in_glass,0.115,fraction,Poynting integral inside r<a,"a shell approximation that ignores this fraction overstates the effective area, which is how a committed 1.98 um^2 arose",CALIB
mode_solve_350nm,power_fraction_in_glass_err,0.040,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,neff,1.01927,index,HE11 characteristic equation at the literature line,"solved, not assumed. An earlier neff_band of 1.08 to 1.25 corresponds to 485 to 796 nm fibres and did not contain any of the three named here",CALIB
mode_solve_370nm,neff_err,0.00717,index,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,amplitude_decay_length,802,nm,1/q from the same solve,"the amplitude convention. The intensity length is half of it, and conflating the two is a factor of two in every guided intensity",CALIB
mode_solve_370nm,amplitude_decay_length_err,155,nm,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,intensity_decay_length,401,nm,1/(2q),"the convention a two-photon coupling needs, since the coupling follows I",CALIB
mode_solve_370nm,intensity_decay_length_err,78,nm,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,qa,0.231,dimensionless,q times the fibre radius,"the number that decides whether the approximation is available. K1(x) reduces to its exponential asymptote only for x much greater than one, so at 0.18 to 0.32 the exponential form is unavailable anywhere the atoms are",CALIB
mode_solve_370nm,qa_err,0.056,dimensionless,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,mode_area_azimuthal_mean,0.707,um^2,P over the azimuthally averaged axial flux at the surface,"the convention is part of the number. The peak convention gives a SMALLER area, since a peak intensity is larger",CALIB
mode_solve_370nm,mode_area_azimuthal_mean_err,0.094,um^2,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,mode_area_peak,0.554,um^2,"P over the peak axial flux, on the polarisation axis","quoted beside the mean so no reader takes either as the mode area without its convention. This row read 0.824 for one day, larger than the mean, which a peak cannot be",CALIB
mode_solve_370nm,mode_area_peak_err,0.069,um^2,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_370nm,power_fraction_in_glass,0.158,fraction,Poynting integral inside r<a,"a shell approximation that ignores this fraction overstates the effective area, which is how a committed 1.98 um^2 arose",CALIB
mode_solve_370nm,power_fraction_in_glass_err,0.046,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_400nm,neff,1.03164,index,HE11 characteristic equation at the literature line,"solved, not assumed. An earlier neff_band of 1.08 to 1.25 corresponds to 485 to 796 nm fibres and did not contain any of the three named here",CALIB
mode_solve_400nm,neff_err,0.00923,index,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
