quantity,case,value,err,note,status
licence_refused,"w0=55um,M2=1.9",0.6703,,"z_ratio above the threshold, so the convolution is not licensed here and the cell is refused rather than quoted",DIAGNOSTIC
licence_refused,"w0=55um,M2=3.0",1.0584,,"z_ratio above the threshold, so the convolution is not licensed here and the cell is refused rather than quoted",DIAGNOSTIC
licence_refused,"w0=64um,M2=3.0",0.7816,,"z_ratio above the threshold, so the convolution is not licensed here and the cell is refused rather than quoted",DIAGNOSTIC
cells_refused_above_licence,,3,,"(w0, M^2) pairs whose z_ratio leaves the convolution licence, refused rather than computed through",DIAGNOSTIC
max_rho_bias_clean,single_valued,2.98e-08,,"single_valued as a maximum over 156 admitted cells at zero tilt with e1.e2 known. The contrast recovers rho exactly at every waist and every M^2, so the beam quality does not enter this channel",DIAGNOSTIC
worst_rho_bias_polarisation_assumed,single_valued,0.9671,,"single_valued because it is the maximum over the grid and a maximum has no spread of its own. The error in rho from taking e1.e2 as one when it is not. Against rho in [0.5, 1] this is a total loss of the measurement, so the per-trace polarisation is a precondition of the channel and not a refinement",DIAGNOSTIC
worst_rho_bias_tilt_and_offset,single_valued,0.8314,,"single_valued as the maximum over the grid. With the offset threaded as the tilt times the 50 mm lever arm. The contrast depends on the OFFSET and not on the tilt: the tilt enters the fringe wash-out and cancels out of a ratio of intensities, so taking the tilt at zero offset measures none of this term rather than half of it",DIAGNOSTIC
dcontrast_dlnrho,rho=0.5,0.15713,,"the contrast is stationary at rho = 1, its derivative vanishing there. Reaching ten per cent on rho needs the contrast measured to 1.6e-02. This bench sits at 0.94, so unbalancing the retro on purpose is what makes the channel informative",DIAGNOSTIC
dcontrast_dlnrho,rho=0.7,0.08685,,"the contrast is stationary at rho = 1, its derivative vanishing there. Reaching ten per cent on rho needs the contrast measured to 8.7e-03. This bench sits at 0.94, so unbalancing the retro on purpose is what makes the channel informative",DIAGNOSTIC
dcontrast_dlnrho,rho=0.9,0.02628,,"the contrast is stationary at rho = 1, its derivative vanishing there. Reaching ten per cent on rho needs the contrast measured to 2.6e-03. This bench sits at 0.94, so unbalancing the retro on purpose is what makes the channel informative",DIAGNOSTIC
dcontrast_dlnrho,rho=0.94,0.01546,,"the contrast is stationary at rho = 1, its derivative vanishing there. Reaching ten per cent on rho needs the contrast measured to 1.5e-03. This bench sits at 0.94, so unbalancing the retro on purpose is what makes the channel informative",DIAGNOSTIC
dcontrast_dlnrho,rho=0.98,0.00505,,"the contrast is stationary at rho = 1, its derivative vanishing there. Reaching ten per cent on rho needs the contrast measured to 5.1e-04. This bench sits at 0.94, so unbalancing the retro on purpose is what makes the channel informative",DIAGNOSTIC
