quantity,value,unit,evidence_class,note,status
U_stat,0.001398,MHz per density unit,ESTABLISHED,"statistical uncertainty on beta_self from the G+L fits (kernel_k5.csv, key K6)",DIAGNOSTIC
U_shape,0.004530,MHz per density unit,ESTABLISHED,"half-range of beta_self over the model class {G, G+L}, on the same one-sigma-like footing. NOT a supremum",DIAGNOSTIC
R_kernel,3.2403,dimensionless,ESTABLISHED,"U_shape / U_stat, carried through from kernel_k5.csv UNCHANGED. It is the model-class sensitivity within the TESTED class and is not replaced by any composite here",DIAGNOSTIC
R_kernel_scope,"within the class {G, G+L}",scope,ESTABLISHED,"class ADEQUACY is a separate and unresolved question: the blind residual atlas that would test whether the true kernel lies outside this class is deferred, so R_kernel bounds sensitivity within a class the analysis chose, not over all model forms",DIAGNOSTIC
Delta_peak_raw,134.6,kHz,DIAGNOSTIC,"QUESTION ANSWERED: how different are the fitted peak values? Raw peak-to-peak spread of Gamma_L,equiv across the four peaks",DIAGNOSTIC
Delta_peak_excess_dispersion_tau,40.9,kHz,DIAGNOSTIC,"QUESTION ANSWERED: how much unexplained dispersion would a HIERARCHICAL EXCHANGEABLE model infer? Conditional on exchangeability, which p = 0.097 does not establish",DIAGNOSTIC
Delta_peak_birge_inflated_se,30.6,kHz,DIAGNOSTIC,QUESTION ANSWERED: how much would the uncertainty on a COMMON value need inflating under the Birge convention? SE x sqrt(chi2/dof),DIAGNOSTIC
gamma_l_weighted_mean,0.398352,MHz,DIAGNOSTIC,inverse-variance mean. NEVER written without its span and its p,DIAGNOSTIC
gamma_l_span,0.315 to 0.449,MHz,DIAGNOSTIC,the four per-peak values this mean is taken over,DIAGNOSTIC
homogeneity_chi2,6.3283,chi2,DIAGNOSTIC,scatter about the weighted mean on 3 dof,DIAGNOSTIC
heterogeneity_established,NO,verdict,DIAGNOSTIC,"p = 0.097 does not reject a common value and does not establish a random-effects model. Delta_peak is therefore NOT combined with U_stat or U_shape, and is not called an uncertainty component",DIAGNOSTIC
dbeta_dgammaL_derived,0.0227,MHz per density unit per MHz,DERIVED,"the only thing making a Gamma_L scatter commensurable with the beta terms. DERIVED from the existing half-range (U_shape is half the beta change for a Gamma_L excursion of the weighted mean), never measured. Any propagation shown anywhere states it is using this",DIAGNOSTIC
discriminator_statistical,"more repeats per peak: a statistical spread shrinks as 1/sqrt(N), a physical one does not",measurement,DESIGN,"candidate origin of Delta_peak, with the measurement that would distinguish it. This table is the seed of the campaign's orthogonal-lever design",DIAGNOSTIC
discriminator_peak_specific_model_mismatch,the blind residual atlas per peak: mismatch leaves peak-dependent structure in the residuals that a common kernel does not,measurement,DESIGN,"candidate origin of Delta_peak, with the measurement that would distinguish it. This table is the seed of the campaign's orthogonal-lever design",DIAGNOSTIC
discriminator_ac_stark_or_baseline_residual,a power ladder at fixed density: both scale with intensity while a laser width does not,measurement,DESIGN,"candidate origin of Delta_peak, with the measurement that would distinguish it. This table is the seed of the campaign's orthogonal-lever design",DIAGNOSTIC
discriminator_laser_origin,"a frequency-noise spectrum measured in the band the scanned widths integrate, which is K5's unmet leg B",measurement,DESIGN,"candidate origin of Delta_peak, with the measurement that would distinguish it. This table is the seed of the campaign's orthogonal-lever design",DIAGNOSTIC
discriminator_other_homogeneous_physics,a density ladder at fixed temperature: a collisional term moves with N(T) and a laser or instrumental term does not,measurement,DESIGN,"candidate origin of Delta_peak, with the measurement that would distinguish it. This table is the seed of the campaign's orthogonal-lever design",DIAGNOSTIC
